frame,f_Hz,FPS,B_mT,Area,x,y,XM,YM,Major,Minor,Angle,Circ,AR,Round,Solidity,filename,particle,particle_unique,dx,dy,total_displacement_um,dp,time,dx_um,dy_um,dp_um,Area_um,Major_um,Minor_um
1,5,61.35,13.5,190,9.526,80.342,9.526,80.342,22.266,10.865,175.547,0.729,2.049,0.488,0.892,5_13p5_61p35,0,5_13p5_61p35-0,0.48300000000000054,1.9609999999999985,425.4472331173622,2.019606397296264,0.016299918500407497,17.92739025000002,72.78594674999995,74.9612257468461,69.54475,13.47093,6.573325
1,5,61.35,13.5,2162,375.504,709.742,375.504,709.742,110.882,24.826,0.314,0.399,4.466,0.224,0.889,5_13p5_61p35,1,5_13p5_61p35-1,2.8870000000000005,0.1310000000000855,204.6466424553751,2.8899705880856343,0.016299918500407497,107.15605725,4.862294250003173,107.26631582532747,791.34605,67.08361000000001,15.01973
1,5,61.35,13.5,208,132.048,693.731,132.048,693.731,28.356,9.34,170.468,0.617,3.036,0.329,0.887,5_13p5_61p35,2,5_13p5_61p35-2,0.08599999999998431,0.17399999999997817,151.26757329135555,0.19409276132815903,0.016299918500407497,3.192040499999418,6.45831449999919,7.204092499026947,76.1332,17.15538,5.6507
1,5,61.35,13.5,299,431.901,667.754,431.901,667.754,40.007,9.516,173.781,0.495,4.204,0.238,0.886,5_13p5_61p35,3,5_13p5_61p35-3,1.906000000000006,-0.21699999999998454,170.7143800554461,1.9183130609991728,0.016299918500407497,70.74452550000022,-8.054334749999427,71.20154630684104,109.441475,24.204234999999997,5.75718
1,5,61.35,13.5,65,118.331,602.823,118.331,602.823,9.336,8.865,157.394,1.0,1.053,0.95,0.922,5_13p5_61p35,4,5_13p5_61p35-4,0.04800000000000182,0.7069999999999936,15.70763859365405,0.7086275467408751,0.016299918500407497,1.7816040000000675,26.241542249999764,26.301951495494375,23.791625,5.64828,5.363325
1,5,61.35,13.5,67,562.306,574.381,562.306,574.381,9.372,9.102,96.694,0.964,1.03,0.971,0.924,5_13p5_61p35,5,5_13p5_61p35-5,-0.05600000000004002,0.28100000000006276,41.96101465813506,0.28652574055403773,0.016299918500407497,-2.0785380000014855,10.429806750002328,10.63490428070908,24.523675,5.670059999999999,5.50671
1,5,61.35,13.5,66,338.561,545.348,338.561,545.348,9.31,9.026,153.818,0.988,1.031,0.969,0.923,5_13p5_61p35,6,5_13p5_61p35-6,0.13900000000001,0.2599999999999909,40.036201232407166,0.2948236761184523,0.016299918500407497,5.159228250000371,9.650354999999662,10.942896680569564,24.15765,5.63255,5.46073
1,5,61.35,13.5,66,521.258,588.212,521.258,588.212,9.397,8.943,149.16,0.949,1.051,0.952,0.917,5_13p5_61p35,7,5_13p5_61p35-7,-0.08100000000001728,0.45699999999999363,36.16510428546415,0.4641228285701932,0.016299918500407497,-3.006456750000641,16.962354749999765,17.22673099733272,24.15765,5.685185,5.410514999999999
1,5,61.35,13.5,140,228.293,338.136,228.293,338.136,19.533,9.126,173.198,0.77,2.14,0.467,0.906,5_13p5_61p35,8,5_13p5_61p35-8,0.3059999999999832,-0.2890000000000441,152.75891604098808,0.42090022570677627,0.016299918500407497,11.357725499999376,-10.726740750001637,15.622448452501988,51.2435,11.817465,5.521229999999999
1,5,61.35,13.5,22,7.227,296.636,7.227,296.636,5.698,4.916,142.732,0.863,1.159,0.863,0.815,5_13p5_61p35,9,5_13p5_61p35-9,-0.07699999999999996,0.013999999999953161,0.20158850568670408,0.07826237921248422,0.016299918500407497,-2.8579897499999984,0.5196344999982615,2.9048451636349735,8.05255,3.44729,2.97418
