 ,Label,Area,X,Y,XM,YM,Major,Minor,Angle,Circ.,AR,Round,Solidity
313,5_8p4_28p68:slice:20,511,1165.940,863.306,1165.940,863.306,59.093,11.010,104.822,0.397,5.367,0.186,0.869
314,5_8p4_28p68:slice:20,433,102.477,922.796,102.477,922.796,59.836,9.214,104.868,0.337,6.494,0.154,0.846
315,5_8p4_28p68:slice:20,236,259.903,924.682,259.903,924.682,45.789,6.562,159.299,0.295,6.978,0.143,0.677
316,5_8p4_28p68:slice:20,292,646.466,957.500,646.466,957.500,41.201,9.024,100.736,0.462,4.566,0.219,0.869
317,5_8p4_28p68:slice:20,366,189.484,962.240,189.484,962.240,49.797,9.358,102.643,0.402,5.321,0.188,0.864
318,5_8p4_28p68:slice:20,291,1135.411,1002.428,1135.411,1002.428,41.062,9.023,100.846,0.458,4.551,0.220,0.865
319,5_8p4_28p68:slice:20,1855,541.449,1027.404,541.449,1027.404,87.232,27.076,116.405,0.513,3.222,0.310,0.881
320,5_8p4_28p68:slice:20,282,724.691,1161.940,724.691,1161.940,39.004,9.206,98.586,0.502,4.237,0.236,0.895
321,5_8p4_28p68:slice:20,284,121.268,1237.504,121.268,1237.504,23.756,15.221,157.452,0.444,1.561,0.641,0.701
322,5_8p4_28p68:slice:21,1175,753.068,231.543,753.068,231.543,81.126,18.441,107.578,0.429,4.399,0.227,0.859
323,5_8p4_28p68:slice:21,41,261.549,283.329,261.549,283.329,9.183,5.685,52.134,0.884,1.615,0.619,0.882
324,5_8p4_28p68:slice:21,1769,201.075,391.042,201.075,391.042,83.066,27.115,113.351,0.552,3.063,0.326,0.876
325,5_8p4_28p68:slice:21,58,1115.379,367.103,1115.379,367.103,9.481,7.789,29.211,0.960,1.217,0.822,0.913
326,5_8p4_28p68:slice:21,1894,505.750,584.797,505.750,584.797,90.554,26.631,107.489,0.499,3.400,0.294,0.891
327,5_8p4_28p68:slice:21,1510,940.272,694.738,940.272,694.738,79.040,24.324,104.537,0.533,3.249,0.308,0.902
328,5_8p4_28p68:slice:21,160,1242.706,733.825,1242.706,733.825,19.609,10.389,44.400,0.845,1.888,0.530,0.907
329,5_8p4_28p68:slice:21,312,1167.391,866.240,1167.391,866.240,24.436,16.257,52.709,0.846,1.503,0.665,0.920
330,5_8p4_28p68:slice:21,232,259.935,924.720,259.935,924.720,45.948,6.429,159.298,0.293,7.147,0.140,0.679
331,5_8p4_28p68:slice:21,193,104.448,927.459,104.448,927.459,24.210,10.150,43.247,0.740,2.385,0.419,0.896
332,5_8p4_28p68:slice:21,146,648.055,961.342,648.055,961.342,18.818,9.878,34.640,0.798,1.905,0.525,0.890
333,5_8p4_28p68:slice:21,172,191.570,966.494,191.570,966.494,21.655,10.113,38.250,0.769,2.141,0.467,0.891
334,5_8p4_28p68:slice:21,1675,542.905,1030.839,542.905,1030.839,87.440,24.390,114.645,0.476,3.585,0.279,0.879
