 ,Label,Area,X,Y,XM,YM,Major,Minor,Angle,Circ.,AR,Round,Solidity
1,5_13p5_61p35:slice:1,190,9.526,80.342,9.526,80.342,22.266,10.865,175.547,0.729,2.049,0.488,0.892
2,5_13p5_61p35:slice:1,74,112.000,79.878,112.000,79.878,9.913,9.505,0.000,0.991,1.043,0.959,0.914
3,5_13p5_61p35:slice:1,1206,152.936,206.121,152.936,206.121,95.941,16.005,179.227,0.356,5.994,0.167,0.918
4,5_13p5_61p35:slice:1,1537,327.603,225.685,327.603,225.685,101.840,19.216,179.949,0.385,5.300,0.189,0.895
5,5_13p5_61p35:slice:1,63,711.151,276.563,711.151,276.563,9.444,8.494,98.013,1.000,1.112,0.899,0.947
6,5_13p5_61p35:slice:1,22,7.227,296.636,7.227,296.636,5.698,4.916,142.732,0.863,1.159,0.863,0.815
7,5_13p5_61p35:slice:1,140,228.293,338.136,228.293,338.136,19.533,9.126,173.198,0.770,2.140,0.467,0.906
8,5_13p5_61p35:slice:1,1487,117.659,470.014,117.659,470.014,96.663,19.587,179.960,0.390,4.935,0.203,0.891
9,5_13p5_61p35:slice:1,66,338.561,545.348,338.561,545.348,9.310,9.026,153.818,0.988,1.031,0.969,0.923
10,5_13p5_61p35:slice:1,67,562.306,574.381,562.306,574.381,9.372,9.102,96.694,0.964,1.030,0.971,0.924
11,5_13p5_61p35:slice:1,66,521.258,588.212,521.258,588.212,9.397,8.943,149.160,0.949,1.051,0.952,0.917
12,5_13p5_61p35:slice:1,65,118.331,602.823,118.331,602.823,9.336,8.865,157.394,1.000,1.053,0.950,0.922
13,5_13p5_61p35:slice:1,299,431.901,667.754,431.901,667.754,40.007,9.516,173.781,0.495,4.204,0.238,0.886
14,5_13p5_61p35:slice:1,208,132.048,693.731,132.048,693.731,28.356,9.340,170.468,0.617,3.036,0.329,0.887
15,5_13p5_61p35:slice:1,2162,375.504,709.742,375.504,709.742,110.882,24.826,0.314,0.399,4.466,0.224,0.889
16,5_13p5_61p35:slice:2,72,111.917,79.958,111.917,79.958,9.831,9.324,161.678,1.000,1.054,0.948,0.900
17,5_13p5_61p35:slice:2,228,10.009,82.303,10.009,82.303,23.555,12.324,175.652,0.730,1.911,0.523,0.908
18,5_13p5_61p35:slice:2,1359,154.808,206.056,154.808,206.056,95.395,18.139,177.260,0.399,5.259,0.190,0.915
19,5_13p5_61p35:slice:2,1609,330.162,224.956,330.162,224.956,102.652,19.957,178.923,0.383,5.144,0.194,0.883
20,5_13p5_61p35:slice:2,69,710.804,276.384,710.804,276.384,9.440,9.307,81.672,0.954,1.014,0.986,0.932
21,5_13p5_61p35:slice:2,20,7.150,296.650,7.150,296.650,5.343,4.766,129.400,0.784,1.121,0.892,0.755
22,5_13p5_61p35:slice:2,101,228.599,337.847,228.599,337.847,13.821,9.304,156.133,0.917,1.485,0.673,0.922
23,5_13p5_61p35:slice:2,1522,119.207,470.430,119.207,470.430,93.178,20.798,179.267,0.419,4.480,0.223,0.921
24,5_13p5_61p35:slice:2,65,338.700,545.608,338.700,545.608,9.364,8.838,55.310,1.000,1.059,0.944,0.929
25,5_13p5_61p35:slice:2,68,562.250,574.662,562.250,574.662,9.495,9.119,59.319,1.000,1.041,0.960,0.932
26,5_13p5_61p35:slice:2,65,521.177,588.669,521.177,588.669,9.336,8.865,112.606,0.973,1.053,0.950,0.922
27,5_13p5_61p35:slice:2,66,118.379,603.530,118.379,603.530,9.298,9.038,151.966,1.000,1.029,0.972,0.923
28,5_13p5_61p35:slice:2,189,433.807,667.537,433.807,667.537,24.223,9.935,156.696,0.688,2.438,0.410,0.883
29,5_13p5_61p35:slice:2,131,132.134,693.905,132.134,693.905,17.740,9.402,148.726,0.862,1.887,0.530,0.919
30,5_13p5_61p35:slice:2,2158,378.391,709.873,378.391,709.873,109.461,25.102,0.300,0.420,4.361,0.229,0.908
31,5_13p5_61p35:slice:3,252,9.218,83.516,9.218,83.516,22.882,14.022,169.818,0.708,1.632,0.613,0.880
32,5_13p5_61p35:slice:3,69,111.601,79.790,111.601,79.790,9.699,9.058,137.166,0.976,1.071,0.934,0.896
33,5_13p5_61p35:slice:3,1463,156.160,206.066,156.160,206.066,96.534,19.296,176.706,0.398,5.003,0.200,0.912
34,5_13p5_61p35:slice:3,1739,332.333,224.978,332.333,224.978,105.235,21.040,178.152,0.374,5.002,0.200,0.878
